file,class,procedence_file
data/samples/blender_sample_0.wav,blender,01
data/samples/blender_sample_1.wav,blender,01
data/samples/blender_sample_2.wav,blender,01
data/samples/blender_sample_3.wav,blender,01
data/samples/blender_sample_4.wav,blender,01
data/samples/blender_sample_5.wav,blender,01
data/samples/blender_sample_6.wav,blender,01
data/samples/blender_sample_7.wav,blender,01
data/samples/blender_sample_8.wav,blender,01
data/samples/blender_sample_9.wav,blender,01
data/samples/blender_sample_10.wav,blender,01
data/samples/blender_sample_11.wav,blender,01
data/samples/blender_sample_12.wav,blender,01
data/samples/blender_sample_13.wav,blender,01
data/samples/blender_sample_14.wav,blender,01
data/samples/blender_sample_15.wav,blender,01
data/samples/blender_sample_16.wav,blender,01
data/samples/blender_sample_17.wav,blender,01
data/samples/blender_sample_18.wav,blender,01
data/samples/blender_sample_19.wav,blender,01
data/samples/blender_sample_20.wav,blender,01
data/samples/blender_sample_21.wav,blender,01
data/samples/blender_sample_22.wav,blender,01
data/samples/blender_sample_23.wav,blender,01
data/samples/blender_sample_24.wav,blender,01
data/samples/blender_sample_25.wav,blender,01
data/samples/blender_sample_26.wav,blender,01
data/samples/blender_sample_27.wav,blender,01
data/samples/blender_sample_28.wav,blender,01
data/samples/blender_sample_29.wav,blender,01
data/samples/blender_sample_30.wav,blender,01
data/samples/blender_sample_31.wav,blender,01
data/samples/blender_sample_32.wav,blender,01
data/samples/blender_sample_33.wav,blender,01
data/samples/blender_sample_34.wav,blender,01
data/samples/blender_sample_35.wav,blender,01
data/samples/blender_sample_36.wav,blender,01
data/samples/blender_sample_37.wav,blender,01
data/samples/blender_sample_38.wav,blender,01
data/samples/blender_sample_39.wav,blender,01
data/samples/blender_sample_40.wav,blender,01
data/samples/blender_sample_41.wav,blender,01
data/samples/blender_sample_42.wav,blender,01
data/samples/blender_sample_43.wav,blender,01
data/samples/blender_sample_44.wav,blender,01
data/samples/blender_sample_45.wav,blender,01
data/samples/blender_sample_46.wav,blender,01
data/samples/blender_sample_47.wav,blender,01
data/samples/blender_sample_48.wav,blender,01
data/samples/blender_sample_49.wav,blender,01
data/samples/blender_sample_50.wav,blender,01
data/samples/blender_sample_51.wav,blender,01
data/samples/blender_sample_52.wav,blender,01
data/samples/blender_sample_53.wav,blender,01
data/samples/blender_sample_54.wav,blender,01
data/samples/blender_sample_55.wav,blender,01
data/samples/blender_sample_56.wav,blender,01
data/samples/blender_sample_57.wav,blender,01
data/samples/blender_sample_58.wav,blender,01
data/samples/blender_sample_59.wav,blender,01
data/samples/blender_sample_60.wav,blender,01
data/samples/blender_sample_61.wav,blender,01
data/samples/blender_sample_62.wav,blender,01
data/samples/blender_sample_63.wav,blender,01
data/samples/blender_sample_64.wav,blender,01
data/samples/blender_sample_65.wav,blender,01
data/samples/blender_sample_66.wav,blender,01
data/samples/blender_sample_67.wav,blender,01
data/samples/blender_sample_68.wav,blender,01
data/samples/blender_sample_69.wav,blender,01
data/samples/blender_sample_70.wav,blender,01
data/samples/blender_sample_71.wav,blender,01
data/samples/blender_sample_72.wav,blender,01
data/samples/blender_sample_73.wav,blender,01
data/samples/blender_sample_74.wav,blender,01
data/samples/blender_sample_75.wav,blender,01
data/samples/blender_sample_76.wav,blender,01
data/samples/blender_sample_77.wav,blender,01
data/samples/blender_sample_78.wav,blender,01
data/samples/blender_sample_79.wav,blender,01
data/samples/blender_sample_80.wav,blender,01
data/samples/blender_sample_81.wav,blender,01
data/samples/blender_sample_82.wav,blender,01
data/samples/blender_sample_83.wav,blender,01
data/samples/blender_sample_84.wav,blender,01
data/samples/blender_sample_85.wav,blender,01
data/samples/blender_sample_86.wav,blender,01
data/samples/blender_sample_87.wav,blender,01
data/samples/blender_sample_88.wav,blender,01
data/samples/blender_sample_89.wav,blender,01
data/samples/blender_sample_90.wav,blender,01
data/samples/blender_sample_91.wav,blender,01
data/samples/blender_sample_92.wav,blender,01
data/samples/blender_sample_93.wav,blender,01
data/samples/blender_sample_94.wav,blender,01
data/samples/blender_sample_95.wav,blender,01
data/samples/blender_sample_96.wav,blender,01
data/samples/blender_sample_97.wav,blender,01
data/samples/blender_sample_98.wav,blender,01
data/samples/blender_sample_99.wav,blender,01
data/samples/blender_sample_100.wav,blender,01
data/samples/blender_sample_101.wav,blender,01
data/samples/blender_sample_102.wav,blender,01
data/samples/blender_sample_103.wav,blender,01
data/samples/blender_sample_104.wav,blender,01
data/samples/blender_sample_105.wav,blender,01
data/samples/blender_sample_106.wav,blender,01
data/samples/blender_sample_107.wav,blender,01
data/samples/blender_sample_108.wav,blender,01
data/samples/blender_sample_109.wav,blender,01
data/samples/blender_sample_110.wav,blender,01
data/samples/blender_sample_111.wav,blender,01
data/samples/blender_sample_112.wav,blender,01
data/samples/blender_sample_113.wav,blender,01
data/samples/blender_sample_114.wav,blender,01
data/samples/blender_sample_115.wav,blender,01
data/samples/blender_sample_116.wav,blender,01
data/samples/blender_sample_117.wav,blender,01
data/samples/blender_sample_118.wav,blender,01
data/samples/blender_sample_119.wav,blender,01
data/samples/blender_sample_120.wav,blender,01
data/samples/blender_sample_121.wav,blender,01
data/samples/blender_sample_122.wav,blender,01
data/samples/blender_sample_123.wav,blender,01
data/samples/blender_sample_124.wav,blender,01
data/samples/blender_sample_125.wav,blender,01
data/samples/blender_sample_126.wav,blender,01
data/samples/blender_sample_127.wav,blender,01
data/samples/blender_sample_128.wav,blender,01
data/samples/blender_sample_129.wav,blender,01
data/samples/blender_sample_130.wav,blender,01
data/samples/blender_sample_131.wav,blender,01
data/samples/blender_sample_132.wav,blender,01
data/samples/blender_sample_133.wav,blender,01
data/samples/blender_sample_134.wav,blender,01
data/samples/blender_sample_135.wav,blender,01
data/samples/cooking_sample_0.wav,cooking,01
data/samples/cooking_sample_1.wav,cooking,01
data/samples/cooking_sample_2.wav,cooking,01
data/samples/cooking_sample_3.wav,cooking,01
data/samples/cooking_sample_4.wav,cooking,01
data/samples/cooking_sample_5.wav,cooking,01
data/samples/cooking_sample_6.wav,cooking,01
data/samples/cooking_sample_7.wav,cooking,01
data/samples/cooking_sample_8.wav,cooking,01
data/samples/cooking_sample_9.wav,cooking,01
data/samples/cooking_sample_10.wav,cooking,01
data/samples/cooking_sample_11.wav,cooking,01
data/samples/cooking_sample_12.wav,cooking,01
data/samples/cooking_sample_13.wav,cooking,01
data/samples/cooking_sample_14.wav,cooking,01
data/samples/cooking_sample_15.wav,cooking,01
data/samples/cooking_sample_16.wav,cooking,01
data/samples/cooking_sample_17.wav,cooking,01
data/samples/cooking_sample_18.wav,cooking,01
data/samples/cooking_sample_19.wav,cooking,01
data/samples/cooking_sample_20.wav,cooking,01
data/samples/cooking_sample_21.wav,cooking,01
data/samples/cooking_sample_22.wav,cooking,01
data/samples/cooking_sample_23.wav,cooking,01
data/samples/cooking_sample_24.wav,cooking,01
data/samples/cooking_sample_25.wav,cooking,01
data/samples/cooking_sample_26.wav,cooking,01
data/samples/cooking_sample_27.wav,cooking,01
data/samples/cooking_sample_28.wav,cooking,01
data/samples/cooking_sample_29.wav,cooking,01
data/samples/cooking_sample_30.wav,cooking,01
data/samples/cooking_sample_31.wav,cooking,01
data/samples/cooking_sample_32.wav,cooking,01
data/samples/cooking_sample_33.wav,cooking,01
data/samples/cooking_sample_34.wav,cooking,01
data/samples/cooking_sample_35.wav,cooking,01
data/samples/cooking_sample_36.wav,cooking,01
data/samples/cooking_sample_37.wav,cooking,01
data/samples/cooking_sample_38.wav,cooking,01
data/samples/cooking_sample_39.wav,cooking,01
data/samples/cooking_sample_40.wav,cooking,01
data/samples/cooking_sample_41.wav,cooking,01
data/samples/cooking_sample_42.wav,cooking,01
data/samples/cooking_sample_43.wav,cooking,01
data/samples/cooking_sample_44.wav,cooking,01
data/samples/cooking_sample_45.wav,cooking,01
data/samples/cooking_sample_46.wav,cooking,01
data/samples/cooking_sample_47.wav,cooking,01
data/samples/cooking_sample_48.wav,cooking,01
data/samples/cooking_sample_49.wav,cooking,01
data/samples/cooking_sample_50.wav,cooking,01
data/samples/cooking_sample_51.wav,cooking,01
data/samples/cooking_sample_52.wav,cooking,01
data/samples/cooking_sample_53.wav,cooking,01
data/samples/cooking_sample_54.wav,cooking,01
data/samples/cooking_sample_55.wav,cooking,01
data/samples/cooking_sample_56.wav,cooking,01
data/samples/cooking_sample_57.wav,cooking,01
data/samples/cooking_sample_58.wav,cooking,01
data/samples/cooking_sample_59.wav,cooking,01
data/samples/cooking_sample_60.wav,cooking,01
data/samples/cooking_sample_61.wav,cooking,01
